,Country,Deaths / million,Deaths,Cases
0,World[a],806,6351178,555444381
1,Peru,6405,213685,3675152
2,Bulgaria,5404,37272,1178189
3,Bosnia and Herzegovina,4844,15809,379563
4,Hungary,4843,46661,1932788
5,North Macedonia,4480,9331,315699
6,Montenegro,4345,2729,243476
7,Georgia,4232,16844,1662299
8,Croatia,3946,16107,1159177
9,Czech Republic,3760,40332,3941752
10,Slovakia,3699,20160,2557640
11,Romania,3437,65755,2927187
12,Lithuania,3412,9178,1165053
13,San Marino,3381,115,18710
14,Slovenia,3203,6660,1049710
15,Brazil,3147,673610,32896464
16,Latvia,3143,5869,839846
17,Gibraltar,3116,105,19796
18,Poland,3081,116453,6022227
19,United States,3066,1020861,88593875
20,Chile,3061,58818,4084308
21,Greece,2938,30476,3843142
22,Armenia,2907,8629,423417
23,Moldova,2875,11570,521182
24,Trinidad and Tobago,2869,4027,168237
25,Argentina,2831,129145,9426171
26,Italy,2801,169106,19439501
27,Belgium,2748,31977,4294880
28,Colombia,2734,140202,6198848
29,United Kingdom,2652,180898,22967566
30,Paraguay,2636,19036,673829
31,Ukraine,2587,112459,5040518
32,Russia,2562,373859,18192863
33,Mexico,2503,326085,6259325
34,European Union[b],2475,1107238,152528232
35,Tunisia,2408,28748,1066127
36,Portugal,2388,24291,5242121
37,Serbia,2350,16150,2041175
38,Spain,2326,108730,12973615
39,Suriname,2325,1376,80890
40,French Polynesia,2297,649,73574
41,Bermuda,2254,140,16401
42,France,2226,150086,32176376
43,Austria,2222,20099,4542028
44,Liechtenstein,2221,85,18141
45,Uruguay,2109,7351,962251
46,Aruba,2089,224,41448
47,Saint Lucia,2087,385,27252
48,Bahamas,2070,822,36245
49,British Virgin Islands,2070,63,7131
50,Grenada,2061,233,18560
51,Ecuador,1998,35749,918479
52,Andorra,1977,153,44671
53,Estonia,1961,2599,581560
54,Panama,1913,8384,932710
55,Sweden,1884,19144,2523404
56,Bolivia,1856,21969,944286
57,Kosovo,1763,3143,231742
58,Luxembourg,1728,1097,270130
59,South Africa,1696,101876,3997269
60,Germany,1690,141870,29025760
61,Seychelles,1688,167,45000
62,Curaçao,1686,278,44662
63,Belize,1679,680,64948
64,Iran,1663,141439,7249976
65,Barbados,1661,478,86010
66,Costa Rica,1658,8525,904934
67,Montserrat,1606,8,1023
68,Guyana,1596,1262,68194
69,Switzerland,1588,13842,3805774
70,Namibia,1571,4065,169253
71,Lebanon,1547,10477,1125720
72,Republic of Ireland,1512,7536,1614631
73,Monaco,1492,59,13480
74,Malta,1470,759,108688
75,Antigua and Barbuda,1448,143,8686
76,Caribbean Netherlands,1399,37,10523
77,Jordan,1369,14068,1700526
78,Netherlands,1309,22491,8241580
79,Isle of Man,1287,110,36998
80,Hong Kong,1246,9412,1271054
81,Albania,1223,3514,287984
82,Eswatini,1208,1417,73215
83,Cyprus,1204,1079,530510
84,Israel,1191,11068,4449647
85,Turkey,1164,99057,15180444
86,Botswana,1148,2753,324154
87,Denmark,1119,6510,3188252
88,Canada,1108,42180,3979420
89,Malaysia,1092,35811,4595974
90,New Caledonia,1085,313,65407
91,Honduras,1084,10911,429408
92,Palestine,1084,5662,662490
93,Jamaica,1061,3157,143982
94,Guatemala,1025,18715,947472
95,Saint Vincent and the Grenadines,1024,114,9083
96,Kazakhstan,1001,19018,1398718
97,Fiji,959,866,66126
98,Azerbaijan,950,9717,793388
99,Dominica,942,68,14852
100,Libya,924,6430,502189
101,Turks and Caicos Islands,917,36,6234
102,Finland,890,4941,1158485
103,Oman,886,4628,391641
104,Bahrain,856,1498,639455
105,Saint Kitts and Nevis,821,44,6293
106,Mauritius,791,1008,231036
107,Sri Lanka,768,16525,664273
108,Belarus,753,7118,994037
109,Cuba,753,8529,1106422
110,Cabo Verde,727,409,61623
111,El Salvador,638,4160,180970
112,Mongolia,636,2119,929653
113,Wallis and Futuna,630,7,456
114,Norway,624,3415,1450730
115,Iraq,613,25254,2385477
116,Anguilla,595,9,3476
117,Kuwait,590,2556,648216
118,Faroe Islands,570,28,34658
119,Indonesia,567,156791,6111305
120,Maldives,562,306,182720
121,Philippines,546,60640,3718467
122,Brunei,509,225,172280
123,Iceland,485,179,197707
124,South Korea,480,24661,18524538
125,Kyrgyzstan,451,2991,201131
126,Thailand,440,30835,4545043
127,Vietnam,438,43089,10754813
128,Cayman Islands,436,29,27594
129,Morocco,432,16156,1241967
130,Nepal,402,11952,980317
131,Australia,400,10326,8516847
132,Dominican Republic,400,4383,616024
133,India,377,525454,43639329
134,Greenland,369,21,11971
135,Zimbabwe,368,5564,255939
136,Myanmar,354,19434,613736
137,Sao Tome and Principe,331,74,6064
138,Palau,330,6,5269
139,Lesotho,323,699,33938
140,Taiwan,319,7624,4082028
141,New Zealand,317,1628,1438599
142,Singapore,262,1432,1530304
143,Saudi Arabia,260,9221,800087
144,Japan,249,31428,9693879
145,Egypt,237,24724,515645
146,United Arab Emirates,232,2324,962937
147,Qatar,232,680,388849
148,Solomon Islands,217,153,21544
149,Zambia,211,4008,327052
150,Mauritania,206,986,61234
151,Venezuela,200,5741,528292
152,Afghanistan,193,7728,183265
153,Djibouti,188,189,15690
154,Cambodia,180,3056,136359
155,Comoros,180,160,8161
156,Bangladesh,175,29200,1989854
157,Saint Pierre and Miquelon,173,1,2857
158,Syria,172,3150,55949
159,Algeria,154,6875,266257
160,Gambia,146,365,12009
161,Samoa,144,29,15052
162,Pakistan,135,30423,1543250
163,Malawi,134,2648,86741
164,Gabon,133,305,48157
165,Equatorial Guinea,126,183,16383
166,Senegal,114,1968,86504
167,Tonga,112,12,12382
168,Sudan,110,4952,62745
169,Rwanda,110,1461,131668
170,Kiribati,107,13,3236
171,Kenya,103,5667,335861
172,Laos,102,757,210366
173,Timor-Leste,98,133,22969
174,Guinea-Bissau,84,171,8400
175,Somalia,83,1361,26865
176,Uganda,76,3627,168360
177,Papua New Guinea,72,662,44745
178,Haiti,72,837,31767
179,Cameroon,70,1931,120068
180,Yemen,70,2149,11832
181,Mozambique,68,2214,228677
182,Republic of the Congo,68,386,24421
183,Ethiopia,64,7552,490370
184,Cook Islands,56,1,5794
185,Liberia,56,294,7500
186,Angola,55,1900,101320
187,Madagascar,49,1403,66098
188,Uzbekistan,48,1637,241655
189,Ghana,45,1453,166816
190,Vanuatu,44,14,11617
191,Nicaragua,36,243,14721
192,Mali,35,737,31187
193,Guinea,32,443,37358
194,Togo,32,275,37608
195,Ivory Coast,29,805,84079
196,Eritrea,28,103,9824
197,Bhutan,26,21,59824
198,Central African Republic,22,113,14675
199,Burkina Faso,18,387,21044
200,Sierra Leone,15,125,7718
201,Democratic Republic of the Congo,14,1375,91393
202,Nigeria,14,3144,258517
203,Tanzania,13,841,35768
204,Benin,13,163,27216
205,Tajikistan,12,125,17786
206,Niger,12,310,9031
207,South Sudan,12,138,17733
208,Chad,11,193,7426
209,China[c],3,5226,892630
210,Burundi,3,38,42836
211,Macau,3,2,621
212,North Korea,0,6,1
213,Falkland Islands,—,—,1831
214,Vatican City,—,0,29
215,Federated States of Micronesia,—,0,38
216,"Saint Helena, Ascension and Tristan da Cunha",—,—,4
217,Marshall Islands,—,—,47
